city,temp_max,humidity,wind_speed,cloudiness,country,date,longitude,latitude
Avarua,26.0,88,6.2,82,CK,1608043629,-159.78,-21.21
Cape Town,20.0,52,14.4,0,ZA,1608043544,18.42,-33.93
Mossamedes,22.14,71,5.35,9,AO,1608043373,12.15,-15.2
Mbamba,35.47,10,3.75,50,NG,1608043632,13.1,9.98
Muros,13.33,81,9.83,100,ES,1608043633,-9.06,42.78
Rudnogorsk,-11.6,96,3.73,100,RU,1608043634,103.75,57.26
Cao Bang,10.61,55,1.11,100,VN,1608043386,106.25,22.67
Guerrero Negro,13.17,85,2.25,42,MX,1608043636,-114.06,27.98
Cabo San Lucas,11.0,71,2.6,20,MX,1608043637,-109.91,22.89
Manaus,25.0,83,4.6,75,BR,1608043638,-60.02,-3.1
Karhal,16.73,45,2.31,0,IN,1608043342,78.94,27.0
Tura,15.45,85,1.31,0,IN,1608043640,90.22,25.52
Sitka,8.0,45,4.6,75,US,1608043642,-135.33,57.05
Thompson,-36.0,66,1.0,20,CA,1608043643,-97.86,55.74
Khorixas,30.03,22,9.68,0,NA,1608043644,14.97,-20.37
Itarema,31.9,53,7.06,91,BR,1608043645,-39.92,-2.92
Russell,8.33,81,1.5,20,US,1608043527,-85.2,32.35
Krivodol,6.58,72,1.61,0,BG,1608043311,23.48,43.37
Ahipara,13.73,84,2.48,0,NZ,1608043648,173.17,-35.17
Vao,24.09,79,10.12,31,NC,1608043649,167.48,-22.67
Salina Cruz,26.29,53,3.14,74,MX,1608043650,-95.2,16.17
Quesnel,-3.0,100,2.1,90,CA,1608043563,-122.5,53.0
Springfield,-1.67,79,1.5,1,US,1608043529,-93.3,37.22
Lincoln,-7.78,78,2.1,1,US,1608043654,-96.67,40.8
Kavaratti,27.87,69,4.22,21,IN,1608043655,72.64,10.57
Hofn,4.24,91,10.89,100,IS,1608043656,-15.21,64.25
Ponte San Nicolò,9.44,70,1.12,92,IT,1608043657,11.92,45.37
Port-Cartier,-7.78,61,4.6,100,CA,1608043658,-66.87,50.03
